system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
b4,M04,2,medium,500,steady,34.123,0.125,0.5084,0,0,0.0,
b4,M04,3,medium,500,steady,30.835,1.0,0.6224,0,0,0.0,
b4,M04,4,medium,500,steady,34.633,1.0,0.5065,0,0,0.0,
b4,M05,0,medium,500,steady,30.193,1.0,0.4351,0,0,0.0,
b4,M05,1,medium,500,steady,27.6,1.0,0.4556,0,0,0.0,
b4,M05,2,medium,500,steady,27.872,0.125,0.4317,0,0,0.0,
b4,M05,3,medium,500,steady,29.672,1.0,0.3515,0,0,0.0,
b4,M05,4,medium,500,steady,25.836,1.0,0.4387,0,0,0.0,
b4,M06,0,medium,200,fault-HA,30.555,1.0,0.7632,0,0,0.0,
b4,M06,1,medium,200,fault-HA,30.844,1.0,0.7144,0,0,0.0,
b4,M06,2,medium,200,fault-HA,33.162,1.0,0.6121,0,0,0.0,
b4,M06,3,medium,200,fault-HA,32.514,0.125,0.7056,0,0,0.0,
b4,M06,4,medium,200,fault-HA,30.684,1.0,0.7116,0,0,0.0,
b4,M07,0,medium,200,steady,31.09,1.0,0.609,0,0,0.0,
b4,M07,1,medium,200,steady,34.222,1.0,0.5638,0,0,0.0,
b4,M07,2,medium,200,steady,31.47,1.0,0.2353,0,0,0.0,
b4,M07,3,medium,200,steady,28.843,0.125,0.1552,0,0,0.0,
b4,M07,4,medium,200,steady,30.268,1.0,0.2479,0,0,0.0,
b4,M08,0,medium,500,bursty-headroom,30.686,1.0,0.4513,0,0,0.0,
b4,M08,1,medium,500,bursty-headroom,28.073,1.0,0.2779,0,0,0.0,
b4,M08,2,medium,500,bursty-headroom,27.953,1.0,0.4566,0,0,0.0,
b4,M08,3,medium,500,bursty-headroom,26.312,1.0,0.4341,0,0,0.0,
b4,M08,4,medium,500,bursty-headroom,25.352,1.0,0.4391,0,0,0.0,
b4,M09,0,medium,200,steady,29.8,1.0,0.4575,0,0,0.0,
b4,M09,1,medium,200,steady,28.706,1.0,0.297,0,0,0.0,
b4,M09,2,medium,200,steady,30.389,1.0,0.6996,0,0,0.0,
b4,M09,3,medium,200,steady,32.529,1.0,0.3652,0,0,0.0,
b4,M09,4,medium,200,steady,33.846,1.0,0.2583,0,0,0.0,
b4,M10,0,medium,200,steady,37.736,1.0,0.3183,0,0,0.0,
b4,M10,1,medium,200,steady,32.127,0.125,0.7204,0,0,0.0,
b4,M10,2,medium,200,steady,28.713,1.0,0.2369,0,0,0.0,
b4,M10,3,medium,200,steady,38.402,1.0,0.4242,0,0,0.0,
b4,M10,4,medium,200,steady,28.785,1.0,0.6547,0,0,0.0,
b4,N02,0,medium,50,steady,27.115,1.0,0.3259,0,0,0.0,
b4,N02,1,medium,50,steady,26.701,1.0,0.6874,0,0,0.0,
b4,N02,2,medium,50,steady,31.815,1.0,0.0734,0,0,0.0,
b4,N02,3,medium,50,steady,30.454,1.0,0.6617,0,0,0.0,
b4,N02,4,medium,50,steady,28.706,0.125,0.507,0,0,0.0,
b4,N03,0,medium,200,bursty-headroom,28.52,1.0,0.643,0,0,0.0,
b4,N03,1,medium,200,bursty-headroom,30.788,0.125,0.6907,0,0,0.0,
b4,N03,2,medium,200,bursty-headroom,30.482,1.0,0.6907,0,0,0.0,
b4,N03,3,medium,200,bursty-headroom,27.502,0.125,0.643,0,0,0.0,
b4,N03,4,medium,200,bursty-headroom,27.568,1.0,0.5376,0,0,0.0,
b4,N04,0,medium,500,sinusoidal-autoscale,28.177,1.0,0.7246,1,0,0.0,
b4,N04,1,medium,500,sinusoidal-autoscale,32.038,1.0,0.7689,1,0,0.0,
b4,N04,2,medium,500,sinusoidal-autoscale,32.815,1.0,0.3836,1,0,0.0,
b4,N04,3,medium,500,sinusoidal-autoscale,31.467,1.0,0.7689,1,0,0.0,
b4,N04,4,medium,500,sinusoidal-autoscale,28.569,1.0,0.6624,1,0,0.0,
b4,N05,0,medium,200,sinusoidal-autoscale,32.552,1.0,0.7041,1,0,0.0,
b4,N05,1,medium,200,sinusoidal-autoscale,39.646,1.0,0.7915,1,0,0.0,
b4,N05,2,medium,200,sinusoidal-autoscale,30.933,1.0,0.0,1,0,0.0,
b4,N05,3,medium,200,sinusoidal-autoscale,32.412,0.125,0.7041,1,0,0.0,
b4,N05,4,medium,200,sinusoidal-autoscale,26.224,1.0,0.6118,1,0,0.0,
b4,N06,0,medium,50,fault-HA,35.001,1.0,0.7085,0,0,0.0,
b4,N06,1,medium,50,fault-HA,31.687,1.0,0.6187,0,0,0.0,
b4,N06,2,medium,50,fault-HA,32.976,1.0,0.6575,0,0,0.0,
b4,N06,3,medium,50,fault-HA,32.644,0.125,0.6851,0,0,0.0,
b4,N06,4,medium,50,fault-HA,32.629,1.0,0.6854,0,0,0.0,
b4,N07,0,medium,500,bursty-headroom,29.345,1.0,0.7396,0,0,0.0,
b4,N07,1,medium,500,bursty-headroom,27.936,1.0,0.1496,0,0,0.0,
b4,N07,2,medium,500,bursty-headroom,29.704,1.0,0.6772,0,0,0.0,
b4,N07,3,medium,500,bursty-headroom,30.134,1.0,0.536,0,0,0.0,
b4,N07,4,medium,500,bursty-headroom,33.727,1.0,0.4346,0,0,0.0,
b4,N08,0,medium,200,fault-HA,31.419,1.0,0.7471,0,0,0.0,
b4,N08,1,medium,200,fault-HA,29.987,1.0,0.6359,0,0,0.0,
b4,N08,2,medium,200,fault-HA,30.003,1.0,0.6954,0,0,0.0,
b4,N08,3,medium,200,fault-HA,34.133,1.0,0.6359,0,0,0.0,
b4,N08,4,medium,200,fault-HA,32.006,1.0,0.7455,0,0,0.0,
b4,C01,0,complex,500,fault-HA,32.311,1.0,0.6849,0,0,0.0,
b4,C01,1,complex,500,fault-HA,27.091,1.0,0.6444,0,0,0.0,
b4,C01,2,complex,500,fault-HA,29.745,1.0,0.6073,0,0,0.0,
b4,C01,3,complex,500,fault-HA,31.363,0.125,0.6849,0,0,0.0,
b4,C01,4,complex,500,fault-HA,30.067,1.0,0.7256,0,0,0.0,
b4,C02,0,complex,500,steady,27.823,1.0,0.5081,0,0,0.0,
b4,C02,1,complex,500,steady,34.142,1.0,0.4374,0,0,0.0,
b4,C02,2,complex,500,steady,30.906,1.0,0.4433,0,0,0.0,
b4,C02,3,complex,500,steady,33.17,0.125,0.4729,0,0,0.0,
b4,C02,4,complex,500,steady,30.854,1.0,0.5044,0,0,0.0,
b4,C03,0,complex,200,fault-HA,30.538,1.0,0.8039,0,0,0.0,
b4,C03,1,complex,200,fault-HA,32.979,1.0,0.7091,0,0,0.0,
b4,C03,2,complex,200,fault-HA,33.451,1.0,0.8055,0,0,0.0,
b4,C03,3,complex,200,fault-HA,32.641,1.0,0.0,0,0,0.0,
b4,C03,4,complex,200,fault-HA,30.732,1.0,0.0,0,0,0.0,
b4,C04,0,complex,200,steady,27.562,1.0,0.0,0,0,0.0,
b4,C04,1,complex,200,steady,46.311,1.0,0.0352,0,0,0.0,
b4,C04,2,complex,200,steady,28.669,1.0,0.4134,0,0,0.0,
b4,C04,3,complex,200,steady,31.99,1.0,0.5292,0,0,0.0,
b4,C04,4,complex,200,steady,29.703,0.125,0.408,0,0,0.0,
b4,C05,0,complex,500,bursty-headroom,29.505,1.0,0.309,0,0,0.0,
b4,C05,1,complex,500,bursty-headroom,28.311,1.0,0.3678,0,0,0.0,
b4,C05,2,complex,500,bursty-headroom,28.399,1.0,0.0,0,0,0.0,
b4,C05,3,complex,500,bursty-headroom,31.85,1.0,0.0,0,0,0.0,
b4,C05,4,complex,500,bursty-headroom,31.095,1.0,0.1691,0,0,0.0,
b4,C06,0,complex,500,steady,32.332,1.0,0.708,0,0,0.0,
b4,C06,1,complex,500,steady,28.605,1.0,0.7259,0,0,0.0,
b4,C06,2,complex,500,steady,26.628,1.0,0.6693,0,0,0.0,
b4,C06,3,complex,500,steady,27.442,0.125,0.6693,0,0,0.0,
b4,C06,4,complex,500,steady,27.407,1.0,0.6973,0,0,0.0,
b4,C07,0,complex,200,fault-HA,33.641,1.0,0.6702,0,0,0.0,
b4,C07,1,complex,200,fault-HA,35.753,0.2222,0.0,0,0,0.0,
b4,C07,2,complex,200,fault-HA,34.683,1.0,0.1754,0,0,0.0,
b4,C07,3,complex,200,fault-HA,34.41,1.0,0.5771,0,0,0.0,
b4,C07,4,complex,200,fault-HA,32.466,1.0,0.5594,0,0,0.0,
b4,C08,0,complex,500,steady,31.948,1.0,0.711,0,0,0.0,
b4,C08,1,complex,500,steady,27.885,0.125,0.5341,0,0,0.0,
b4,C08,2,complex,500,steady,35.442,1.0,0.694,0,0,0.0,
b4,C08,3,complex,500,steady,31.894,1.0,0.711,0,0,0.0,
b4,C08,4,complex,500,steady,32.982,1.0,0.5856,0,0,0.0,
b4,C09,0,complex,50,steady,26.83,1.0,0.3014,0,0,0.0,
b4,C09,1,complex,50,steady,31.068,1.0,0.6937,0,0,0.0,
b4,C09,2,complex,50,steady,28.531,1.0,0.7091,0,0,0.0,
b4,C09,3,complex,50,steady,29.031,1.0,0.7993,0,0,0.0,
b4,C09,4,complex,50,steady,28.829,1.0,0.3014,0,0,0.0,
b4,N09,0,complex,200,bursty-headroom,28.253,1.0,0.6271,0,0,0.0,
b4,N09,1,complex,200,bursty-headroom,31.584,1.0,0.5973,0,0,0.0,
b4,N09,2,complex,200,bursty-headroom,30.542,1.0,0.5973,0,0,0.0,
b4,N09,3,complex,200,bursty-headroom,33.066,0.125,0.6271,0,0,0.0,
b4,N09,4,complex,200,bursty-headroom,28.191,1.0,0.4407,0,0,0.0,
b4,N10,0,complex,200,sinusoidal-autoscale,29.773,1.0,0.2829,1,0,0.0,
b4,N10,1,complex,200,sinusoidal-autoscale,29.502,1.0,0.0,1,0,0.0,
