system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,N07,0,medium,500,bursty-headroom,142.535,0.2,0.8036,0,1,0.2,
mas,N07,1,medium,500,bursty-headroom,143.336,0.2,0.8036,0,1,0.2,
mas,N07,2,medium,500,bursty-headroom,143.148,0.2,0.8036,0,1,0.2,
mas,N07,3,medium,500,bursty-headroom,143.988,0.2,0.8036,0,1,0.2,
mas,N07,4,medium,500,bursty-headroom,143.788,0.2,0.8036,0,1,0.2,
mas,N08,0,medium,200,fault-HA,141.081,0.2,0.6147,0,1,0.2,
mas,N08,1,medium,200,fault-HA,142.456,0.2,0.6147,0,1,0.2,
mas,N08,2,medium,200,fault-HA,142.206,0.2,0.6147,0,1,0.2,
mas,N08,3,medium,200,fault-HA,142.085,0.2,0.6147,0,1,0.2,
mas,N08,4,medium,200,fault-HA,142.657,0.2,0.6147,0,1,0.2,
mas,C01,0,complex,500,fault-HA,143.83,0.2,0.5372,0,1,0.2,
mas,C01,1,complex,500,fault-HA,143.9,0.2,0.5372,0,1,0.2,
mas,C01,2,complex,500,fault-HA,142.762,0.2,0.5372,0,1,0.2,
mas,C01,3,complex,500,fault-HA,143.372,0.2,0.5372,0,1,0.2,
mas,C01,4,complex,500,fault-HA,142.902,0.2,0.5372,0,1,0.2,
mas,C02,0,complex,500,steady,143.303,0.2,0.4459,0,1,0.2,Topology has issues: Connection references unknown VNF: oai-gnb; Connection references unknown VNF: oai-ue; Connection references unknown VNF: oai-gnb
mas,C02,1,complex,500,steady,147.068,0.2,0.4459,0,1,0.2,
mas,C02,2,complex,500,steady,145.966,0.2,0.4459,0,1,0.2,
mas,C02,3,complex,500,steady,145.467,0.2,0.4459,0,1,0.2,
mas,C02,4,complex,500,steady,146.125,0.2,0.4459,0,1,0.2,
mas,C03,0,complex,200,fault-HA,143.078,0.2,0.5876,1,0,0.2,
mas,C03,1,complex,200,fault-HA,141.978,0.1111,0.5876,1,0,0.2,
mas,C03,2,complex,200,fault-HA,142.789,0.2,0.5876,1,0,0.2,
mas,C03,3,complex,200,fault-HA,143.476,0.2,0.5876,1,0,0.2,
mas,C03,4,complex,200,fault-HA,143.011,0.2,0.5876,1,0,0.2,
mas,C04,0,complex,200,steady,143.258,0.1111,0.9447,0,1,0.2,
mas,C04,1,complex,200,steady,143.061,0.1111,0.9447,0,1,0.2,
mas,C04,2,complex,200,steady,144.072,0.1111,0.9447,0,1,0.2,
mas,C04,3,complex,200,steady,142.675,0.1111,0.9447,0,1,0.2,
mas,C04,4,complex,200,steady,141.32,0.1111,0.9447,0,1,0.2,
mas,C05,0,complex,500,bursty-headroom,141.897,0.1111,0.3597,0,1,0.2,
mas,C05,1,complex,500,bursty-headroom,142.879,0.1111,0.3597,0,1,0.2,
mas,C05,2,complex,500,bursty-headroom,142.502,0.1111,0.3597,0,1,0.2,
mas,C05,3,complex,500,bursty-headroom,141.978,0.1111,0.3597,0,1,0.2,
