system,intent_id,rep,complexity,ue_band,scenario,category,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,P038,1,complex,500,steady,perfect,17.674,0.0,0.5012,0,0,0.2,
mas,P038,2,complex,500,steady,perfect,17.704,0.0,0.5012,0,0,0.2,
mas,P038,3,complex,500,steady,perfect,19.116,0.0,0.5012,0,0,0.2,
mas,P038,4,complex,500,steady,perfect,18.794,0.0,0.5012,0,0,0.2,
mas,P039,0,complex,500,steady,perfect,19.683,0.0,0.9931,0,0,0.2,
mas,P039,1,complex,500,steady,perfect,19.087,0.0,0.9931,0,0,0.2,
mas,P039,2,complex,500,steady,perfect,19.337,0.0,0.9931,0,0,0.2,
mas,P039,3,complex,500,steady,perfect,18.755,0.0,0.9931,0,0,0.2,
mas,P039,4,complex,500,steady,perfect,18.618,0.0,0.9931,0,0,0.2,
mas,P040,0,complex,500,steady,perfect,18.914,0.0,0.5309,0,0,0.2,
mas,P040,1,complex,500,steady,perfect,18.146,0.0,0.5309,0,0,0.2,
mas,P040,2,complex,500,steady,perfect,18.055,0.0,0.5309,0,0,0.2,
mas,P040,3,complex,500,steady,perfect,18.024,0.0,0.5309,0,0,0.2,
mas,P040,4,complex,500,steady,perfect,18.224,0.0,0.5309,0,0,0.2,
mas,P041,0,complex,500,steady,perfect,17.899,0.0,0.4899,0,0,0.2,
mas,P041,1,complex,500,steady,perfect,17.641,0.0,0.4899,0,0,0.2,
mas,P041,2,complex,500,steady,perfect,17.992,0.0,0.4899,0,0,0.2,
mas,P041,3,complex,500,steady,perfect,17.693,0.0,0.4899,0,0,0.2,
mas,P041,4,complex,500,steady,perfect,17.779,0.0,0.4899,0,0,0.2,
mas,P042,0,complex,500,steady,perfect,18.948,0.0,0.7497,0,0,0.2,
mas,P042,1,complex,500,steady,perfect,19.001,0.0,0.7497,0,0,0.2,
mas,P042,2,complex,500,steady,perfect,19.17,0.0,0.7497,0,0,0.2,
mas,P042,3,complex,500,steady,perfect,19.445,0.0,0.7497,0,0,0.2,
mas,P042,4,complex,500,steady,perfect,19.258,0.0,0.7497,0,0,0.2,
mas,P043,0,complex,500,steady,perfect,19.419,0.0,0.6068,0,0,0.2,
mas,P043,1,complex,500,steady,perfect,18.971,0.0,0.6068,0,0,0.2,
mas,P043,2,complex,500,steady,perfect,19.385,0.0,0.6068,0,0,0.2,
mas,P043,3,complex,500,steady,perfect,18.493,0.0,0.6068,0,0,0.2,
mas,P043,4,complex,500,steady,perfect,17.784,0.0,0.6068,0,0,0.2,
mas,P044,0,complex,200,steady,perfect,17.973,0.0,0.8544,0,0,0.2,
mas,P044,1,complex,200,steady,perfect,18.651,0.0,0.8544,0,0,0.2,
mas,P044,2,complex,200,steady,perfect,17.141,0.0,0.8544,0,0,0.2,
mas,P044,3,complex,200,steady,perfect,18.32,0.0,0.8544,0,0,0.2,
mas,P044,4,complex,200,steady,perfect,17.115,0.0,0.8544,0,0,0.2,
mas,P045,0,complex,500,steady,perfect,18.507,0.0,0.6308,0,0,0.2,
mas,P045,1,complex,500,steady,perfect,17.895,0.0,0.6308,0,0,0.2,
mas,P045,2,complex,500,steady,perfect,17.569,0.0,0.6308,0,0,0.2,
mas,P045,3,complex,500,steady,perfect,18.505,0.0,0.6308,0,0,0.2,
mas,P045,4,complex,500,steady,perfect,20.737,0.0,0.6308,0,0,0.2,
mas,P046,0,complex,500,bursty-headroom,perfect,17.444,0.0,0.3476,0,0,0.2,
mas,P046,1,complex,500,bursty-headroom,perfect,17.813,0.0,0.3476,0,0,0.2,
mas,P046,2,complex,500,bursty-headroom,perfect,17.566,0.0,0.3476,0,0,0.2,
mas,P046,3,complex,500,bursty-headroom,perfect,18.402,0.0,0.3476,0,0,0.2,
mas,P046,4,complex,500,bursty-headroom,perfect,18.586,0.0,0.3476,0,0,0.2,
mas,P047,0,complex,500,bursty-headroom,perfect,15.894,0.0,0.2593,0,0,0.2,
mas,P047,1,complex,500,bursty-headroom,perfect,15.859,0.0,0.2593,0,0,0.2,
mas,P047,2,complex,500,bursty-headroom,perfect,15.921,0.0,0.2593,0,0,0.2,
mas,P047,3,complex,500,bursty-headroom,perfect,17.167,0.0,0.2593,0,0,0.2,
mas,P047,4,complex,500,bursty-headroom,perfect,15.823,0.0,0.2593,0,0,0.2,
mas,P048,0,complex,200,bursty-headroom,perfect,16.607,0.0,0.7451,0,0,0.2,
mas,P048,1,complex,200,bursty-headroom,perfect,16.134,0.0,0.7451,0,0,0.2,
mas,P048,2,complex,200,bursty-headroom,perfect,15.787,0.0,0.7451,0,0,0.2,
mas,P048,3,complex,200,bursty-headroom,perfect,16.136,0.0,0.7451,0,0,0.2,
mas,P048,4,complex,200,bursty-headroom,perfect,15.963,0.0,0.7451,0,0,0.2,
mas,P049,0,complex,500,sinusoidal-autoscale,perfect,17.587,0.0,0.3611,0,0,0.2,
mas,P049,1,complex,500,sinusoidal-autoscale,perfect,15.561,0.0,0.3611,0,0,0.2,
mas,P049,2,complex,500,sinusoidal-autoscale,perfect,17.01,0.0,0.3611,0,0,0.2,
mas,P049,3,complex,500,sinusoidal-autoscale,perfect,18.063,0.0,0.3611,0,0,0.2,
mas,P049,4,complex,500,sinusoidal-autoscale,perfect,16.248,0.0,0.3611,0,0,0.2,
mas,P050,0,complex,500,sinusoidal-autoscale,perfect,16.816,0.0,0.9921,0,0,0.2,
mas,P050,1,complex,500,sinusoidal-autoscale,perfect,17.027,0.0,0.9921,0,0,0.2,
mas,P050,2,complex,500,sinusoidal-autoscale,perfect,16.599,0.0,0.9921,0,0,0.2,
mas,P050,3,complex,500,sinusoidal-autoscale,perfect,16.699,0.0,0.9921,0,0,0.2,
mas,P050,4,complex,500,sinusoidal-autoscale,perfect,16.123,0.0,0.9921,0,0,0.2,
mas,P051,0,complex,500,fault-HA,perfect,18.583,0.0,0.7354,0,0,0.2,
mas,P051,1,complex,500,fault-HA,perfect,19.638,0.0,0.7354,0,0,0.2,
mas,P051,2,complex,500,fault-HA,perfect,19.21,0.0,0.7354,0,0,0.2,
mas,P051,3,complex,500,fault-HA,perfect,18.827,0.0,0.7354,0,0,0.2,
mas,P051,4,complex,500,fault-HA,perfect,19.304,0.0,0.7354,0,0,0.2,
mas,P052,0,complex,500,fault-HA,perfect,19.351,0.0,0.3919,0,0,0.2,
mas,P052,1,complex,500,fault-HA,perfect,18.199,0.0,0.3919,0,0,0.2,
mas,P052,2,complex,500,fault-HA,perfect,20.038,0.0,0.3919,0,0,0.2,
mas,P052,3,complex,500,fault-HA,perfect,19.078,0.0,0.3919,0,0,0.2,
mas,P052,4,complex,500,fault-HA,perfect,18.553,0.0,0.3919,0,0,0.2,
mas,P053,0,complex,500,fault-HA,perfect,18.303,0.0,0.4741,0,0,0.2,
mas,P053,1,complex,500,fault-HA,perfect,17.625,0.0,0.4741,0,0,0.2,
mas,P053,2,complex,500,fault-HA,perfect,18.049,0.0,0.4741,0,0,0.2,
mas,P053,3,complex,500,fault-HA,perfect,18.216,0.0,0.4741,0,0,0.2,
mas,P053,4,complex,500,fault-HA,perfect,18.062,0.0,0.4741,0,0,0.2,
mas,P054,0,complex,500,fault-HA,perfect,19.219,0.0,0.4169,0,0,0.2,
mas,P054,1,complex,500,fault-HA,perfect,19.173,0.0,0.4169,0,0,0.2,
mas,P054,2,complex,500,fault-HA,perfect,19.16,0.0,0.4169,0,0,0.2,
mas,P054,3,complex,500,fault-HA,perfect,18.875,0.0,0.4169,0,0,0.2,
mas,P054,4,complex,500,fault-HA,perfect,19.26,0.0,0.4169,0,0,0.2,
mas,P055,0,complex,200,fault-HA,perfect,20.068,0.0,0.6121,0,0,0.2,
mas,P055,1,complex,200,fault-HA,perfect,18.634,0.0,0.6121,0,0,0.2,
mas,P055,2,complex,200,fault-HA,perfect,20.708,0.0,0.6121,0,0,0.2,
mas,P055,3,complex,200,fault-HA,perfect,18.281,0.0,0.6121,0,0,0.2,
mas,P055,4,complex,200,fault-HA,perfect,18.547,0.0,0.6121,0,0,0.2,
