system,intent_id,rep,complexity,ue_band,scenario,category,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
ossgpt,C03,0,complex,200,fault-HA,,68.862,0.0,0.0,1,0,0.0,"Executor returned non-JSON output (first 200 chars): {
  ""topology_id"": ""factory-digital-twin-001"",
  ""connectivity"": {
    ""plmn"": {
      ""mcc"": ""001"",
      ""mnc"": ""01""
    },
    ""slices"": [
      {
        ""sst"": 1,
        ""sd"": ""000001"",
        "
ossgpt,C04,0,complex,200,steady,,70.12,0.0,0.9996,0,0,0.0,
ossgpt,C05,0,complex,500,bursty-headroom,,60.846,0.0,0.9554,0,0,0.0,
ossgpt,C06,0,complex,500,steady,,62.639,0.0,1.0,0,0,0.0,
ossgpt,C07,0,complex,200,fault-HA,,70.256,0.0,0.9074,0,0,0.0,
ossgpt,C08,0,complex,500,steady,,68.818,0.0,0.0,1,0,0.0,"Executor returned non-JSON output (first 200 chars): {
  ""topology_id"": ""topo-001"",
  ""connectivity"": {
    ""plmn"": {
      ""mcc"": ""001"",
      ""mnc"": ""01""
    },
    ""slices"": [
      {
        ""sst"": 1,
        ""sd"": ""000001"",
        ""description"": """
ossgpt,C09,0,complex,50,steady,,70.074,0.0,0.9969,0,0,0.0,
ossgpt,N09,0,complex,200,bursty-headroom,,57.562,0.0,1.0,0,0,0.0,
ossgpt,N10,0,complex,200,sinusoidal-autoscale,,22.893,0.0,0.0,1,0,0.0,"Executor returned non-JSON output (first 200 chars): I’m sorry, but I can’t fulfill that request. The plan you provided includes VNFs (such as **gnb** and **nr‑ue**) that are not part of the allowed VNF types for the 5G core topology, and it also violat"
ossgpt,N11,0,complex,500,sinusoidal-autoscale,,72.637,0.1111,0.9966,0,0,0.0,
lin,S01,0,simple,50,steady,,78.269,0.0,0.9956,0,0,0.0,
lin,S02,0,simple,200,steady,,67.064,0.0,0.9956,0,0,0.0,
lin,S03,0,simple,50,steady,,42.161,0.0,0.9956,0,0,0.0,
lin,S04,0,simple,50,steady,,84.987,0.0,0.9956,0,0,0.0,
lin,S05,0,simple,200,steady,,64.415,0.0,0.9956,0,0,0.0,
lin,S06,0,simple,50,steady,,34.931,0.0,0.9956,0,0,0.0,
lin,N01,0,simple,500,steady,,39.835,0.0,0.9956,0,0,0.0,
lin,M01,0,medium,500,steady,,48.568,0.0,0.9956,0,0,0.0,
lin,M02,0,medium,200,steady,,42.418,0.0,1.0,0,0,0.0,
lin,M03,0,medium,500,fault-HA,,54.618,0.0,0.9787,0,0,0.0,
lin,M04,0,medium,500,steady,,39.789,0.0,0.8839,0,0,0.0,
lin,M05,0,medium,500,steady,,48.794,0.125,0.9675,0,0,0.0,
lin,M06,0,medium,200,fault-HA,,39.721,0.0,0.7644,0,0,0.0,
lin,M07,0,medium,200,steady,,44.551,0.0,0.9966,0,0,0.0,
lin,M08,0,medium,500,bursty-headroom,,49.052,0.0,0.9956,0,0,0.0,
lin,M09,0,medium,200,steady,,40.164,0.0,0.9956,0,0,0.0,
lin,M10,0,medium,200,steady,,46.668,0.0,1.0,0,0,0.0,
lin,N02,0,medium,50,steady,,42.635,0.0,0.9944,0,0,0.0,
lin,N03,0,medium,200,bursty-headroom,,36.103,0.0,0.9956,0,0,0.0,
lin,N04,0,medium,500,sinusoidal-autoscale,,41.279,0.0,0.9956,1,0,0.0,
lin,N05,0,medium,200,sinusoidal-autoscale,,78.893,0.0,0.74,1,0,0.0,
lin,N06,0,medium,50,fault-HA,,50.661,0.0,0.9996,0,0,0.0,
lin,N07,0,medium,500,bursty-headroom,,89.197,0.0,1.0,0,0,0.0,
lin,N08,0,medium,200,fault-HA,,44.0,0.0,0.9957,0,0,0.0,
lin,C01,0,complex,500,fault-HA,,75.658,0.0,0.997,0,0,0.0,
lin,C02,0,complex,500,steady,,56.714,0.0,0.9491,0,0,0.0,
lin,C03,0,complex,200,fault-HA,,109.293,0.0,0.7498,0,0,0.0,
lin,C04,0,complex,200,steady,,49.136,0.0,1.0,0,0,0.0,
lin,C05,0,complex,500,bursty-headroom,,72.238,0.0,1.0,0,0,0.0,
lin,C06,0,complex,500,steady,,91.209,0.0,1.0,0,0,0.0,
lin,C07,0,complex,200,fault-HA,,100.761,0.0,1.0,0,0,0.0,
lin,C08,0,complex,500,steady,,105.779,0.0,1.0,0,0,0.0,
lin,C09,0,complex,50,steady,,77.28,0.0,0.9956,0,0,0.0,
lin,N09,0,complex,200,bursty-headroom,,78.937,0.0,1.0,0,0,0.0,
lin,N10,0,complex,200,sinusoidal-autoscale,,50.013,0.0,1.0,1,0,0.0,
lin,N11,0,complex,500,sinusoidal-autoscale,,95.695,0.0,1.0,1,0,0.0,
